Date,Time,lat,lon,depth,mb,Ms,Mw,,,
12-11-1999,17:09:20,40.7896,31.5898,9,4.3,3.381555375,4.19643,,,
12-11-1999,17:17:59,40.7921,30.9896,11,5.4,5.531541802,5.78054,,,
12-11-1999,17:22:57,40.8227,31.0598,11,4.7,4.163368621,4.77247,,,
12-11-1999,17:29:33,43.8204,33.4463,9,4.9,4.554275244,5.06049,,,
12-11-1999,20:04:47,42.7579,33.1483,11,3.5,1.817928882,3.04435,,,
12-11-1999,20:54:25,43.996,33.3307,9,3.5,1.817928882,3.04435,,,
12-11-1999,21:38:35,42.8369,33.0772,11,3.7,2.208835505,3.33237,,,
12-11-1999,22:01:14,40.8261,31.3216,9,4.1,2.990648751,3.90841,,,
12-11-1999,22:20:56,40.882,31.2956,13.9,4.4,4.4,4.34044,,,
12-11-1999,22:38:05,40.7559,31.2986,9,3.7,2.208835505,3.33237,,,
12-11-1999,22:43:21,40.8342,31.0724,11,3.5,1.817928882,3.04435,,,
13-11-1999,00:14:50,40.8656,31.3947,9,4.2,3.186102063,4.05242,,,
13-11-1999,00:54:57,40.8416,30.9473,11,4.9,4.5,5,,,
13-11-1999,01:03:05,40.9187,31.3749,9,4.1,2.990648751,3.90841,,,
13-11-1999,01:57:24,43.7774,31.4236,9,3.6,2.013382193,3.18836,,,
13-11-1999,09:59:25,43.6875,33.9331,11,4.2,3.186102063,4.05242,,,
13-11-1999,18:43:45,42.9164,34.4983,9,3.5,1.817928882,3.04435,,,
14-11-1999,22:55:18,43.8714,33.4782,9,3.6,2.013382193,3.18836,,,
15-11-1999,16:26:59,40.7815,31.0542,11,4.1,3.6,3.90841,,,
16-11-1999,07:49:42,40.6547,31.6238,12,3.7,2.208835505,3.33237,,,
16-11-1999,17:51:20,40.7655,31.5042,12.7,5,4.6,5,,,
17-11-1999,00:15:50,40.8428,31.3081,11,4,2.79519544,3.7644,,,
17-11-1999,03:36:02,40.7412,31.3647,9,4.2,3.186102063,4.05242,,,
17-11-1999,08:15:28,40.8515,31.4997,9,4.8,4.5,5,,,
18-11-1999,18:19:34,40.7867,31.3962,9,3.8,2.404288817,3.47638,,,
19-11-1999,10:28:01,40.8826,30.947,11,4.4,3.1,4.34044,,,
19-11-1999,14:01:16,40.8175,30.8788,11,4.2,3.186102063,4.05242,,,
19-11-1999,19:59:08,40.816,30.9671,7.9,4.8,4.4,4.9,,,
21-11-1999,04:31:44,40.8275,30.9477,11,3.6,2.013382193,3.18836,,,
21-11-1999,22:27:34,40.8012,31.457,9,4.4,3.6,4.34044,,,
13-12-1999,19:13:39,40.8023,30.7462,11,4.2,3.3,4.05242,,,
20-12-1999,03:27:20,40.867,31.0195,11,4.4,3.1,4.34044,,,
29-12-1999,10:41:58,40.7763,30.9854,11,3.5,1.817928882,3.04435,,,
04-01-2000,16:26:06,40.7205,30.6794,11,4,2.79519544,3.7644,,,
05-01-2000,14:10:06,40.8209,31.2568,11,4.1,2.990648751,3.90841,,,
20-01-2000,10:36:01,40.8336,31.3058,13.4,4.6,3.967915309,4.62846,,,
23-01-2000,07:24:16,40.7655,30.6975,11,4,2.79519544,3.7644,,,
31-01-2000,14:38:52,40.6773,29.2507,9.8,4.2,3.186102063,4.05242,,,
09-02-2000,16:41:35,40.7354,29.9166,19.3,3.7,2.208835505,3.33237,,,
14-02-2000,06:56:36,41.0284,31.6479,10.5,4.9,4.8,5.1,,,
26-02-2000,03:03:41,40.8261,30.9148,11,3.6,2.013382193,3.18836,,,
02-04-2000,18:57:39,40.8532,30.2551,11,4.5,3.7,4.5,,,
07-07-2000,00:15:31,40.8524,29.2751,6.4,4.5,3.5,4.48445,,,
23-08-2000,13:41:29,40.8009,30.7736,16.5,5,4.9,5.3,,,
06-09-2000,14:22:59,40.6543,29.2205,7.3,3.8,2.404288817,3.47638,,,
19-09-2000,09:22:46,43.7271,33.2392,11,3.5,1.817928882,3.04435,,,
19-10-2000,05:06:22,40.7654,31.4596,9,3.6,2.013382193,3.18836,,,
13-11-2000,03:12:39,40.803,30.8166,11,4,2.79519544,3.7644,,,
23-11-2000,18:26:11,40.6161,30.3483,11,3.8,2.404288817,3.47638,,,
01-04-2001,01:18:49,44.9305,33.1698,11,3.9,2.599742128,3.62039,,,
06-05-2001,03:08:10,43.9025,34.169,11,3.5,1.817928882,3.04435,,,
26-08-2001,00:41:15,40.9893,31.4718,14.1,4.9,4.4,5,,,
17-09-2002,12:05:31,40.7061,30.6047,7.3,3.9,2.599742128,3.62039,,,
08-03-2003,11:18:08,40.6846,30.6001,14.8,4,2.79519544,3.7644,,,
08-03-2003,12:59:38,40.7307,30.6641,14,3.7,2.208835505,3.33237,,,
09-03-2003,19:01:33,40.7457,30.6228,13.6,4,2.79519544,3.7644,,,
09-03-2003,19:01:44,40.727,30.7006,11,3.7,2.208835505,3.33237,,,
10-03-2003,04:10:08,40.7532,30.6013,11,3.6,2.013382193,3.18836,,,
15-03-2003,18:01:01,40.7428,30.5984,6.1,3.7,2.208835505,3.33237,,,
01-04-2003,07:51:11,40.7331,30.6678,15.3,3.9,2.599742128,3.62039,,,
21-05-2003,08:21:51,40.8033,30.9546,11,4.3,3.6,4.3,,,
25-07-2003,07:21:33,40.8887,31.5566,8.2,3.6,2.013382193,3.18836,,,
26-03-2004,23:59:59,40.8693,31.0323,11,3.6,2.013382193,3.18836,,,
13-04-2004,21:47:25,40.7762,31.6403,10,4.2,3.4,4.3,,,
16-05-2006,03:30:49,40.7442,29.3304,14.8,4.5,3.5,4.48445,,,
31-05-2007,22:50:10,40.5315,30.5966,15.7,3.6,4.1,3.18836,,,
